date,series_id,target,price_feature,competitor_price_feature,discount,holiday_promo,seasonality,demand_forecast,units_ordered
2022-06-22,S001_P0001,264,19.44,16.29,5,1,,253.34,187
2022-06-23,S001_P0001,492,13.76,14.59,20,0,,263.81,144
2022-06-24,S001_P0001,321,96.38,95.65,20,1,,107.92,164
2022-06-25,S001_P0001,454,19.9,17.02,5,1,,199.67,109
2022-06-26,S001_P0001,74,23.59,20.6,5,1,,21.87,93
2022-06-27,S001_P0001,421,11.81,14.38,0,0,,48.5,185
2022-06-28,S001_P0001,332,15.81,17.15,10,0,,256.57,55
2022-06-29,S001_P0001,58,80.64,85.29,0,1,,22.15,103
2022-06-30,S001_P0001,452,74.75,73.99,5,0,,159.37,129
2022-07-01,S001_P0001,372,43.74,39.82,0,0,,37.91,152
2022-07-02,S001_P0001,61,42.42,40.55,0,0,,-1.43,20
2022-07-03,S001_P0001,149,79.84,78.34,0,1,,97.47,140
2022-07-04,S001_P0001,483,15.79,19.12,15,1,,153.26,114
2022-07-05,S001_P0001,104,81.22,84.72,10,1,,78.99,160
2022-07-06,S001_P0001,305,46.96,49.08,20,1,,21.76,157
2022-07-07,S001_P0001,115,96.25,94.4,5,0,,60.33,170
2022-07-08,S001_P0001,145,78.51,79.41,5,1,,130.28,161
2022-07-09,S001_P0001,190,56.87,56.37,20,0,,-0.67,128
2022-07-10,S001_P0001,475,35.38,35.22,0,0,,52.08,44
2022-07-11,S001_P0001,429,70.64,73.95,15,0,,302.51,167
2022-07-12,S001_P0001,152,37.08,32.6,20,0,,79.62,139
2022-07-13,S001_P0001,329,45.95,45.45,15,1,,191.53,134
2022-07-14,S001_P0001,399,97.5,94.97,20,0,,381.8,186
2022-07-15,S001_P0001,82,49.01,45.88,15,1,,80.63,80
2022-07-16,S001_P0001,87,79.94,83.3,0,1,,37.8,146
2022-07-17,S001_P0001,63,33.84,29.74,20,1,,6.27,196
2022-07-18,S001_P0001,193,34.46,37.37,10,0,,44.03,85
2022-07-19,S001_P0001,238,56.65,54.38,10,1,,178.55,198
2022-07-20,S001_P0001,392,81.18,77.62,0,1,,111.42,92
2022-07-21,S001_P0001,498,36.04,40.66,20,0,,187.08,70
2022-07-22,S001_P0001,422,92.32,94.95,10,0,,91.67,101
2022-07-23,S001_P0001,315,45.02,47.05,0,0,,241.58,82
2022-07-24,S001_P0001,337,43.51,39.9,15,1,,290.05,107
2022-07-25,S001_P0001,96,44.95,43.78,20,1,,48.12,164
2022-07-26,S001_P0001,212,30.28,26.82,10,1,,172.55,120
2022-07-27,S001_P0001,404,80.67,82.11,15,1,,282.32,128
2022-07-28,S001_P0001,314,74.05,74.41,15,1,,308.96,83
2022-07-29,S001_P0001,304,45.77,47.74,0,0,,177.06,41
2022-07-30,S001_P0001,418,99.17,101.36,20,0,,209.87,58
2022-07-31,S001_P0001,423,87.79,86.17,0,0,,338.0,39
2022-08-01,S001_P0001,73,28.22,29.58,15,1,,75.93,149
2022-08-02,S001_P0001,252,87.87,90.51,0,0,,154.13,108
2022-08-03,S001_P0001,329,25.2,22.86,20,1,,239.96,199
2022-08-04,S001_P0001,405,65.97,67.54,15,0,,276.45,21
2022-08-05,S001_P0001,427,87.72,83.51,10,1,,38.51,184
2022-08-06,S001_P0001,320,64.06,64.54,15,0,,228.17,63
2022-08-07,S001_P0001,420,58.96,60.11,15,0,,261.5,44
2022-08-08,S001_P0001,338,99.12,99.98,0,0,,54.41,56
2022-08-09,S001_P0001,211,98.6,98.28,5,0,,217.42,194
2022-08-10,S001_P0001,278,62.69,63.49,5,1,,20.77,30
2022-08-11,S001_P0001,479,33.11,30.79,5,0,,190.91,183
2022-08-12,S001_P0001,182,40.65,42.0,15,1,,166.26,153
2022-08-13,S001_P0001,77,57.41,60.47,10,1,,85.88,190
2022-08-14,S001_P0001,492,79.74,78.1,20,0,,359.21,79
2022-08-15,S001_P0001,187,95.07,92.8,10,0,,150.99,51
2022-08-16,S001_P0001,348,70.95,72.86,5,1,,124.3,96
2022-08-17,S001_P0001,404,25.53,27.14,10,1,,265.98,34
2022-08-18,S001_P0001,70,41.42,43.64,5,1,,22.14,117
2022-08-19,S001_P0001,192,21.86,23.9,0,0,,192.76,70
2022-08-20,S001_P0001,418,80.76,82.52,5,1,,372.87,165
2022-08-21,S001_P0001,263,97.35,102.28,15,0,,176.63,26
2022-08-22,S001_P0001,248,61.73,61.65,15,0,,88.75,114
2022-08-23,S001_P0001,497,82.81,79.69,20,0,,229.28,119
2022-08-24,S001_P0001,298,44.19,46.53,5,1,,38.36,98
2022-08-25,S001_P0001,260,33.23,33.56,5,1,,81.8,26
2022-08-26,S001_P0001,355,42.44,46.87,5,1,,158.1,147
2022-08-27,S001_P0001,341,80.7,82.68,5,1,,225.93,105
2022-08-28,S001_P0001,65,45.23,41.33,5,1,,7.9,175
2022-08-29,S001_P0001,205,72.86,76.81,0,0,,191.15,82
2022-08-30,S001_P0001,270,37.33,40.49,0,0,,160.58,71
2022-08-31,S001_P0001,278,25.2,29.05,15,0,,211.37,104
2022-09-01,S001_P0001,61,50.89,47.53,15,1,,32.92,49
2022-09-02,S001_P0001,157,38.87,37.89,0,0,,145.5,86
2022-09-03,S001_P0001,179,13.1,16.11,0,0,,155.65,174
2022-09-04,S001_P0001,290,37.08,32.63,0,0,,67.75,100
2022-09-05,S001_P0001,460,39.31,35.96,15,0,,69.46,84
2022-09-06,S001_P0001,385,95.87,95.64,0,0,,363.19,92
2022-09-07,S001_P0001,95,37.45,36.16,10,1,,70.51,151
2022-09-08,S001_P0001,83,16.62,15.11,20,1,,54.61,154
2022-09-09,S001_P0001,220,38.45,39.51,20,1,,-6.71,102
2022-09-10,S001_P0001,344,84.98,84.45,20,0,,238.17,100
2022-09-11,S001_P0001,315,36.82,41.07,20,0,,287.07,141
2022-09-12,S001_P0001,388,96.51,99.35,20,1,,344.94,90
2022-09-13,S001_P0001,498,85.21,83.81,20,1,,468.44,199
2022-09-14,S001_P0001,339,56.58,58.26,0,0,,86.33,157
2022-09-15,S001_P0001,470,52.62,52.38,15,1,,385.57,109
2022-09-16,S001_P0001,111,90.5,88.37,20,1,,82.19,93
2022-09-17,S001_P0001,420,62.9,59.01,15,0,,189.44,130
2022-09-18,S001_P0001,334,44.61,39.92,15,1,,41.78,68
2022-09-19,S001_P0001,423,22.62,18.38,10,1,,285.93,89
2022-09-20,S001_P0001,422,79.71,84.2,10,1,,150.5,199
2022-09-21,S001_P0001,355,32.67,28.61,10,1,,89.08,59
2022-09-22,S001_P0001,408,49.37,52.15,20,1,,142.14,20
2022-09-23,S001_P0001,263,51.67,53.49,20,1,,30.06,26
2022-09-24,S001_P0001,468,85.0,84.44,0,1,,164.07,23
2022-09-25,S001_P0001,270,94.64,94.17,10,1,,265.75,43
2022-09-26,S001_P0001,362,43.75,43.92,15,1,,261.34,194
2022-09-27,S001_P0001,103,76.75,81.28,15,0,,54.49,33
2022-09-28,S001_P0001,104,46.66,42.76,5,1,,44.51,83
2022-09-29,S001_P0001,110,58.28,56.66,0,1,,117.65,116
2022-09-30,S001_P0001,214,66.84,65.54,10,1,,64.08,114
2022-10-01,S001_P0001,212,58.74,62.94,10,0,,209.06,20
2022-10-02,S001_P0001,361,79.35,79.48,20,0,,348.68,152
2022-10-03,S001_P0001,139,87.39,85.33,5,1,,134.23,108
2022-10-04,S001_P0001,197,38.73,38.79,0,0,,15.47,155
2022-10-05,S001_P0001,159,19.32,16.25,10,1,,19.91,42
2022-10-06,S001_P0001,118,73.1,77.49,15,0,,38.87,143
2022-10-07,S001_P0001,446,38.45,41.12,10,1,,322.39,147
2022-10-08,S001_P0001,270,73.17,75.17,15,0,,178.73,58
2022-10-09,S001_P0001,91,80.46,83.16,20,0,,57.7,108
2022-10-10,S001_P0001,343,77.43,81.59,0,1,,312.83,29
2022-10-11,S001_P0001,97,72.38,75.36,10,1,,5.53,170
2022-10-12,S001_P0001,498,78.14,76.05,15,0,,330.7,167
2022-10-13,S001_P0001,90,90.38,93.62,20,0,,23.0,37
2022-10-14,S001_P0001,414,16.47,18.67,0,1,,318.92,92
2022-10-15,S001_P0001,58,69.84,69.96,10,1,,60.73,81
2022-10-16,S001_P0001,120,41.81,38.68,15,1,,109.12,77
2022-10-17,S001_P0001,440,63.43,62.88,10,0,,352.61,119
2022-10-18,S001_P0001,403,83.62,79.44,10,1,,270.03,115
2022-10-19,S001_P0001,125,67.28,69.32,0,0,,49.85,99
2022-10-20,S001_P0001,325,43.3,40.78,5,1,,127.68,32
2022-10-21,S001_P0001,99,18.16,20.35,0,1,,47.78,111
2022-10-22,S001_P0001,211,53.26,53.92,15,0,,39.75,188
2022-10-23,S001_P0001,192,83.95,88.37,10,0,,135.98,80
2022-10-24,S001_P0001,367,86.49,91.27,20,0,,296.27,123
2022-10-25,S001_P0001,72,96.07,99.33,10,1,,39.52,78
2022-10-26,S001_P0001,77,22.95,24.46,20,0,,50.94,165
2022-10-27,S001_P0001,304,72.39,76.3,20,0,,254.9,144
2022-10-28,S001_P0001,361,65.56,68.64,0,0,,220.81,86
2022-10-29,S001_P0001,244,54.42,59.37,15,1,,113.52,64
2022-10-30,S001_P0001,352,70.73,75.62,5,0,,73.13,195
2022-10-31,S001_P0001,59,20.5,20.73,5,1,,16.22,199
2022-11-01,S001_P0001,187,67.35,64.22,15,1,,180.04,54
2022-11-02,S001_P0001,414,55.6,52.77,5,1,,155.19,90
2022-11-03,S001_P0001,341,47.34,42.41,5,0,,180.53,92
2022-11-04,S001_P0001,207,57.43,53.14,10,1,,171.29,71
2022-11-05,S001_P0001,386,68.07,71.62,15,0,,320.49,167
2022-11-06,S001_P0001,403,72.66,67.92,20,0,,175.63,94
2022-11-07,S001_P0001,176,36.66,41.25,5,1,,131.48,62
2022-11-08,S001_P0001,244,26.01,26.27,15,1,,132.1,23
2022-11-09,S001_P0001,462,64.86,65.06,5,0,,120.83,132
2022-11-10,S001_P0001,319,16.23,16.97,15,0,,37.94,58
2022-11-11,S001_P0001,101,34.73,32.96,5,0,,84.96,154
2022-11-12,S001_P0001,238,70.68,66.75,10,0,,138.71,138
2022-11-13,S001_P0001,494,50.52,46.51,15,0,,72.66,197
2022-11-14,S001_P0001,99,77.41,74.8,0,1,,22.47,161
2022-11-15,S001_P0001,172,62.9,63.16,20,0,,18.85,107
2022-11-16,S001_P0001,406,70.57,68.87,20,0,,150.83,27
2022-11-17,S001_P0001,57,93.26,88.62,5,0,,11.0,63
2022-11-18,S001_P0001,152,57.49,54.07,5,0,,103.01,154
2022-11-19,S001_P0001,497,12.45,16.43,5,1,,162.29,85
2022-11-20,S001_P0001,268,38.68,40.98,10,1,,251.11,28
2022-11-21,S001_P0001,257,10.26,8.24,0,1,,24.89,75
2022-11-22,S001_P0001,397,21.34,21.65,15,0,,80.85,82
2022-11-23,S001_P0001,211,25.15,22.26,0,1,,144.05,141
2022-11-24,S001_P0001,113,73.81,74.9,5,1,,108.7,192
2022-11-25,S001_P0001,269,26.58,22.12,15,1,,262.78,57
2022-11-26,S001_P0001,142,11.7,16.7,10,0,,72.83,52
2022-11-27,S001_P0001,191,90.67,92.7,5,0,,114.49,145
2022-11-28,S001_P0001,356,95.08,97.31,0,0,,0.02,188
2022-11-29,S001_P0001,210,15.67,19.11,15,1,,10.92,115
2022-11-30,S001_P0001,500,83.03,81.75,15,1,,378.47,107
2022-12-01,S001_P0001,256,81.28,81.53,20,0,,203.68,37
2022-12-02,S001_P0001,395,48.82,52.69,10,1,,297.13,132
2022-12-03,S001_P0001,186,26.42,29.98,20,0,,26.49,157
2022-12-04,S001_P0001,485,74.62,74.06,5,0,,342.1,152
2022-12-05,S001_P0001,174,52.57,50.77,10,1,,5.81,153
2022-12-06,S001_P0001,468,30.15,32.92,10,1,,183.82,87
2022-12-07,S001_P0001,191,47.24,45.83,0,0,,109.7,31
2022-12-08,S001_P0001,348,53.04,54.87,20,1,,291.88,60
2022-12-09,S001_P0001,311,36.96,40.26,0,0,,309.01,137
2022-12-10,S001_P0001,456,90.18,85.83,0,0,,81.42,69
2022-12-11,S001_P0001,119,61.17,62.84,20,1,,32.99,157
2022-12-12,S001_P0001,264,78.31,78.74,15,1,,20.83,114
2022-12-13,S001_P0001,87,88.76,92.02,15,1,,39.71,153
2022-12-14,S001_P0001,261,61.64,57.47,10,0,,84.73,137
2022-12-15,S001_P0001,201,94.23,98.95,0,1,,113.35,118
2022-12-16,S001_P0001,341,73.39,71.04,5,0,,314.92,97
2022-12-17,S001_P0001,362,41.65,42.84,0,1,,104.47,91
2022-12-18,S001_P0001,132,13.94,10.53,10,0,,77.42,23
2022-12-19,S001_P0001,196,28.42,29.67,0,0,,54.45,47
2022-12-20,S001_P0001,208,61.01,60.92,5,0,,94.09,114
2022-12-21,S001_P0001,246,35.45,31.76,10,1,,183.87,124
2022-12-22,S001_P0001,304,91.97,93.47,20,1,,279.89,165
2022-12-23,S001_P0001,455,31.09,32.21,20,1,,75.08,160
2022-12-24,S001_P0001,87,53.01,50.72,5,0,,50.75,152
2022-12-25,S001_P0001,99,19.82,16.77,10,1,,84.77,39
2022-12-26,S001_P0001,74,72.37,68.26,5,1,,65.16,139
2022-12-27,S001_P0001,448,25.15,21.87,0,0,,162.36,103
2022-12-28,S001_P0001,486,74.05,74.67,20,0,,59.28,81
2022-12-29,S001_P0001,240,92.88,96.37,15,0,,46.05,148
2022-12-30,S001_P0001,456,61.06,59.09,5,0,,101.77,32
2022-12-31,S001_P0001,439,73.25,69.24,0,0,,397.08,193
2023-01-01,S001_P0001,425,48.37,49.99,10,1,,194.79,72
2023-01-02,S001_P0001,358,57.86,61.61,10,0,,98.16,71
2023-01-03,S001_P0001,284,24.2,27.46,20,0,,248.32,194
2023-01-04,S001_P0001,324,31.2,33.99,0,1,,261.14,93
2023-01-05,S001_P0001,376,59.56,63.59,15,1,,152.46,84
2023-01-06,S001_P0001,422,47.91,46.05,20,1,,29.26,98
2023-01-07,S001_P0001,166,56.44,54.01,15,1,,48.53,132
2023-01-08,S001_P0001,146,72.68,77.24,0,0,,69.66,43
2023-01-09,S001_P0001,66,65.3,63.42,15,0,,38.73,163
2023-01-10,S001_P0001,120,94.52,92.12,5,1,,35.74,43
2023-01-11,S001_P0001,333,30.34,26.64,15,0,,271.96,20
2023-01-12,S001_P0001,86,43.03,40.78,0,0,,29.15,116
2023-01-13,S001_P0001,98,19.91,23.61,20,1,,85.45,123
2023-01-14,S001_P0001,273,11.56,13.49,15,0,,70.72,166
2023-01-15,S001_P0001,392,25.33,21.68,15,1,,378.92,65
2023-01-16,S001_P0001,369,74.5,71.74,20,0,,173.46,31
2023-01-17,S001_P0001,251,31.17,29.24,15,0,,37.59,84
2023-01-18,S001_P0001,484,52.9,49.75,0,0,,151.19,151
2023-01-19,S001_P0001,158,70.42,74.25,0,1,,99.47,48
2023-01-20,S001_P0001,316,76.29,72.91,10,1,,165.58,71
2023-01-21,S001_P0001,400,55.98,56.3,5,0,,82.85,147
2023-01-22,S001_P0001,221,45.37,41.25,15,1,,115.64,177
2023-01-23,S001_P0001,130,99.46,101.54,0,0,,61.29,49
2023-01-24,S001_P0001,445,42.97,38.76,15,1,,404.58,110
2023-01-25,S001_P0001,331,75.11,77.2,0,0,,-5.87,163
2023-01-26,S001_P0001,467,67.73,67.33,20,1,,162.67,98
2023-01-27,S001_P0001,174,65.66,67.3,5,1,,101.37,35
2023-01-28,S001_P0001,240,66.32,66.25,20,0,,124.76,115
2023-01-29,S001_P0001,296,49.34,49.31,20,0,,218.87,184
2023-01-30,S001_P0001,419,56.68,58.91,15,1,,80.35,69
2023-01-31,S001_P0001,257,39.53,39.65,15,1,,200.22,37
2023-02-01,S001_P0001,191,76.77,75.3,10,1,,101.43,113
